a|A0
à|A1
ả|A3
ã|A2
á|A4
ạ|A5
ac|A4 KC
ác|A4 KC
ạc|A5 KC
ach|EA4 KC
ách|EA4 KC
ạch|EA5 KC
ai|A0 IZ
ài|A1 IZ
ải|A3 IZ
ãi|A2 IZ
ái|A4 IZ
ại|A5 IZ
am|A0 MZ
àm|A1 MZ
ảm|A3 MZ
ãm|A2 MZ
ám|A4 MZ
ạm|A5 MZ
an|A0 NZ
àn|A1 NZ
ản|A3 NZ
ãn|A2 NZ
án|A4 NZ
ạn|A5 NZ
ang|A0 NGZ
àng|A1 NGZ
ảng|A3 NGZ
ãng|A2 NGZ
áng|A4 NGZ
ạng|A5 NGZ
anh|EA0 NGZ
ành|EA1 NGZ
ảnh|EA3 NGZ
ãnh|EA2 NGZ
ánh|EA4 NGZ
ạnh|EA5 NGZ
ao|A0 UZ
ào|A1 UZ
ảo|A3 UZ
ão|A2 UZ
áo|A4 UZ
ạo|A5 UZ
ap|A4 PC
áp|A4 PC
ạp|A5 PC
at|A4 TC
át|A4 TC
ạt|A5 TC
au|AW0 UZ
àu|AW1 UZ
ảu|AW3 UZ
ãu|AW2 UZ
áu|AW4 UZ
ạu|AW5 UZ
ay|AW0 IZ
ày|AW1 IZ
ảy|AW3 IZ
ãy|AW2 IZ
áy|AW4 IZ
ạy|AW5 IZ
ắc|AW4 KC
ặc|AW5 KC
ăm|AW0 MZ
ằm|AW1 MZ
ẳm|AW3 MZ
ẵm|AW2 MZ
ắm|AW4 MZ
ặm|AW5 MZ
ăn|AW0 NZ
ằn|AW1 NZ
ẳn|AW3 NZ
ẵn|AW2 NZ
ắn|AW4 NZ
ặn|AW5 NZ
ăng|AW0 NGZ
ằng|AW1 NGZ
ẳng|AW3 NGZ
ẵng|AW2 NGZ
ắng|AW4 NGZ
ặng|AW5 NGZ
ắp|AW4 PC
ặp|AW5 PC
ăt|AW4 TC
ắt|AW4 TC
ặt|AW5 TC
âc|AA4 KC
ấc|AA4 KC
ậc|AA5 KC
âm|AA0 MZ
ầm|AA1 MZ
ẩm|AA3 MZ
ẫm|AA2 MZ
ấm|AA4 MZ
ậm|AA5 MZ
ân|AA0 NZ
ần|AA1 NZ
ẩn|AA3 NZ
ẫn|AA2 NZ
ấn|AA4 NZ
ận|AA5 NZ
âng|AA0 NGZ
ầng|AA1 NGZ
ẩng|AA3 NGZ
ẫng|AA2 NGZ
ấng|AA4 NGZ
ậng|AA5 NGZ
ấp|AA4 PC
ập|AA5 PC
ât|AA4 TC
ất|AA4 TC
ật|AA5 TC
âu|AA0 UZ
ầu|AA1 UZ
ẩu|AA3 UZ
ẫu|AA2 UZ
ấu|AA4 UZ
ậu|AA5 UZ
ây|AA0 IZ
ầy|AA1 IZ
ẩy|AA3 IZ
ẫy|AA2 IZ
ấy|AA4 IZ
ậy|AA5 IZ
ba|B A0
bà|B A1
bả|B A3
bã|B A2
bá|B A4
bạ|B A5
bác|B A4 KC
bạc|B A5 KC
bách|B EA4 KC
bạch|B EA5 KC
bai|B A0 IZ
bài|B A1 IZ
bải|B A3 IZ
bãi|B A2 IZ
bái|B A4 IZ
bại|B A5 IZ
bam|B A0 MZ
bàm|B A1 MZ
bảm|B A3 MZ
bãm|B A2 MZ
bám|B A4 MZ
bạm|B A5 MZ
ban|B A0 NZ
bàn|B A1 NZ
bản|B A3 NZ
bãn|B A2 NZ
bán|B A4 NZ
bạn|B A5 NZ
bang|B A0 NGZ
bàng|B A1 NGZ
bảng|B A3 NGZ
bãng|B A2 NGZ
báng|B A4 NGZ
bạng|B A5 NGZ
banh|B EA0 NGZ
bành|B EA1 NGZ
bảnh|B EA3 NGZ
bãnh|B EA2 NGZ
bánh|B EA4 NGZ
bạnh|B EA5 NGZ
bao|B A0 UZ
bào|B A1 UZ
bảo|B A3 UZ
bão|B A2 UZ
báo|B A4 UZ
bạo|B A5 UZ
bap|B A4 PC
báp|B A4 PC
bạp|B A5 PC
bát|B A4 TC
bạt|B A5 TC
bau|B AW0 UZ
bàu|B AW1 UZ
bảu|B AW3 UZ
bãu|B AW2 UZ
báu|B AW4 UZ
bạu|B AW5 UZ
bay|B AW0 IZ
bày|B AW1 IZ
bảy|B AW3 IZ
bãy|B AW2 IZ
báy|B AW4 IZ
bạy|B AW5 IZ
băc|B AW4 KC
bắc|B AW4 KC
bặc|B AW5 KC
băm|B AW0 MZ
bằm|B AW1 MZ
bẳm|B AW3 MZ
bẵm|B AW2 MZ
bắm|B AW4 MZ
bặm|B AW5 MZ
băn|B AW0 NZ
bằn|B AW1 NZ
bẳn|B AW3 NZ
bẵn|B AW2 NZ
bắn|B AW4 NZ
bặn|B AW5 NZ
băng|B AW0 NGZ
bằng|B AW1 NGZ
bẳng|B AW3 NGZ
bẵng|B AW2 NGZ
bắng|B AW4 NGZ
bặng|B AW5 NGZ
bắp|B AW4 PC
bặp|B AW5 PC
bắt|B AW4 TC
bặt|B AW5 TC
bấc|B AA4 KC
bậc|B AA5 KC
bâm|B AA0 MZ
bầm|B AA1 MZ
bẩm|B AA3 MZ
bẫm|B AA2 MZ
bấm|B AA4 MZ
bậm|B AA5 MZ
bân|B AA0 NZ
bần|B AA1 NZ
bẩn|B AA3 NZ
bẫn|B AA2 NZ
bấn|B AA4 NZ
bận|B AA5 NZ
bâng|B AA0 NGZ
bầng|B AA1 NGZ
bẩng|B AA3 NGZ
bẫng|B AA2 NGZ
bấng|B AA4 NGZ
bậng|B AA5 NGZ
bâp|B AA4 PC
bấp|B AA4 PC
bập|B AA5 PC
bât|B AA4 TC
bất|B AA4 TC
bật|B AA5 TC
bâu|B AA0 UZ
bầu|B AA1 UZ
bẩu|B AA3 UZ
bẫu|B AA2 UZ
bấu|B AA4 UZ
bậu|B AA5 UZ
bây|B AA0 IZ
bầy|B AA1 IZ
bẩy|B AA3 IZ
bẫy|B AA2 IZ
bấy|B AA4 IZ
bậy|B AA5 IZ
be|B E0
bè|B E1
bẻ|B E3
bẽ|B E2
bé|B E4
bẹ|B E5
bec|B E0 KC
béc|B E4 KC
bẹc|B E5 KC
béch|B E4 KC
bem|B E0 MZ
bèm|B E1 MZ
bẻm|B E3 MZ
bẽm|B E2 MZ
bém|B E4 MZ
bẹm|B E5 MZ
ben|B E0 NZ
bèn|B E1 NZ
bẻn|B E3 NZ
bẽn|B E2 NZ
bén|B E4 NZ
bẹn|B E5 NZ
beng|B E0 NGZ
bèng|B E1 NGZ
bẻng|B E3 NGZ
bẽng|B E2 NGZ
béng|B E4 NGZ
bẹng|B E5 NGZ
beo|B E0 UZ
bèo|B E1 UZ
bẻo|B E3 UZ
bẽo|B E2 UZ
béo|B E4 UZ
bẹo|B E5 UZ
bép|B E4 PC
bẹp|B E5 PC
bét|B E4 TC
bẹt|B E5 TC
bê|B EE0
bề|B EE1
bể|B EE3
bễ|B EE2
bế|B EE4
bệ|B EE5
bếc|B EE4 KC
bếch|B EE4 KC
bệch|B EE5 KC
bêm|B EE0 MZ
bềm|B EE1 MZ
bểm|B EE3 MZ
bễm|B EE2 MZ
bếm|B EE4 MZ
bệm|B EE5 MZ
bên|B EE0 NZ
bền|B EE1 NZ
bển|B EE3 NZ
bễn|B EE2 NZ
bến|B EE4 NZ
bện|B EE5 NZ
bênh|B EE0 NGZ
bềnh|B EE1 NGZ
bểnh|B EE3 NGZ
bễnh|B EE2 NGZ
bếnh|B EE4 NGZ
bệnh|B EE5 NGZ
bêp|B EE4 PC
bếp|B EE4 PC
bệp|B EE5 PC
bết|B EE4 TC
bệt|B EE5 TC
bêu|B EE0 UZ
bều|B EE1 UZ
bểu|B EE3 UZ
bễu|B EE2 UZ
bếu|B EE4 UZ
bệu|B EE5 UZ
bi|B I0
bì|B I1
bỉ|B I3
bĩ|B I2
bí|B I4
bị|B I5
bia|B IE0
bìa|B IE1
bỉa|B IE3
bĩa|B IE2
bía|B IE4
bịa|B IE5
bich|B I4 KC
bích|B I4 KC
bịch|B I5 KC
biêc|B IE4 KC
biếc|B IE4 KC
biệc|B IE5 KC
biêm|B IE0 MZ
biềm|B IE1 MZ
biểm|B IE3 MZ
biễm|B IE2 MZ
biếm|B IE4 MZ
biệm|B IE5 MZ
biên|B IE0 NZ
biền|B IE1 NZ
biển|B IE3 NZ
biễn|B IE2 NZ
biến|B IE4 NZ
biện|B IE5 NZ
biêng|B IE0 NGZ
biềng|B IE1 NGZ
biểng|B IE3 NGZ
biễng|B IE2 NGZ
biếng|B IE4 NGZ
biệng|B IE5 NGZ
biêp|B IE0 PC
biếp|B IE4 PC
biệp|B IE5 PC
biêt|B IE4 TC
biết|B IE4 TC
biệt|B IE5 TC
biêu|B IE0 UZ
biều|B IE1 UZ
biểu|B IE3 UZ
biễu|B IE2 UZ
biếu|B IE4 UZ
biệu|B IE5 UZ
bim|B I0 MZ
bìm|B I1 MZ
bỉm|B I3 MZ
bĩm|B I2 MZ
bím|B I4 MZ
bịm|B I5 MZ
bin|B I0 NZ
bìn|B I1 NZ
bỉn|B I3 NZ
bĩn|B I2 NZ
bín|B I4 NZ
bịn|B I5 NZ
binh|B I0 NGZ
bình|B I1 NGZ
bỉnh|B I3 NGZ
bĩnh|B I2 NGZ
bính|B I4 NGZ
bịnh|B I5 NGZ
bíp|B I4 PC
bịp|B I5 PC
bít|B I4 TC
bịt|B I5 TC
biu|B I0 UZ
bìu|B I1 UZ
bỉu|B I3 UZ
bĩu|B I2 UZ
bíu|B I4 UZ
bịu|B I5 UZ
bo|B O0
bò|B O1
bỏ|B O3
bõ|B O2
bó|B O4
bọ|B O5
boa|B W A0
bòa|B W A1
bỏa|B W A3
bõa|B W A2
bóa|B W A4
bọa|B W A5
boac|B W A4 KC
boác|B W A4 KC
boạc|B W A5 KC
boach|B W EA4 KC
boách|B W EA4 KC
boạch|B W EA5 KC
boai|B W A0 IZ
boài|B W A1 IZ
boải|B W A3 IZ
boãi|B W A2 IZ
boái|B W A4 IZ
boại|B W A5 IZ
boam|B W A0 MZ
boàm|B W A1 MZ
boảm|B W A3 MZ
boãm|B W A2 MZ
boám|B W A4 MZ
boạm|B W A5 MZ
boan|B W A0 NZ
boàn|B W A1 NZ
boản|B W A3 NZ
boãn|B W A2 NZ
boán|B W A4 NZ
boạn|B W A5 NZ
boang|B W A0 NGZ
boàng|B W A1 NGZ
boảng|B W A3 NGZ
boãng|B W A2 NGZ
boáng|B W A4 NGZ
boạng|B W A5 NGZ
boanh|B W EA0 NGZ
boành|B W EA1 NGZ
boảnh|B W EA3 NGZ
boãnh|B W EA2 NGZ
boánh|B W EA4 NGZ
boạnh|B W EA5 NGZ
boap|B W A4 PC
boáp|B W A4 PC
boạp|B W A5 PC
boat|B W A4 TC
boát|B W A4 TC
boạt|B W A5 TC
boay|B W AW0 IZ
boày|B W AW1 IZ
boảy|B W AW3 IZ
boãy|B W AW2 IZ
boáy|B W AW4 IZ
boạy|B W AW5 IZ
boăc|B W AW4 KC
boắc|B W AW4 KC
boặc|B W AW5 KC
boăm|B W AW0 MZ
boằm|B W AW1 MZ
boẳm|B W AW3 MZ
boẵm|B W AW2 MZ
boắm|B W AW4 MZ
boặm|B W AW5 MZ
boăn|B W AW0 NZ
boằn|B W AW1 NZ
boẳn|B W AW3 NZ
boẵn|B W AW2 NZ
boắn|B W AW4 NZ
boặn|B W AW5 NZ
boăng|B W AW0 NGZ
boằng|B W AW1 NGZ
boẳng|B W AW3 NGZ
boẵng|B W AW2 NGZ
boắng|B W AW4 NGZ
boặng|B W AW5 NGZ
boăt|B W AW4 TC
boắt|B W AW4 TC
boặt|B W AW5 TC
boc|B OA4 KC
bóc|B OA4 KC
bọc|B OA5 KC
boe|B W E0
bòe|B W E1
bỏe|B W E3
bõe|B W E2
bóe|B W E4
bọe|B W E5
boem|B W E0 MZ
boèm|B W E1 MZ
boẻm|B W E3 MZ
boẽm|B W E2 MZ
boém|B W E4 MZ
boẹm|B W E5 MZ
boen|B W E0 NZ
boèn|B W E1 NZ
boẻn|B W E3 NZ
boẽn|B W E2 NZ
boén|B W E4 NZ
boẹn|B W E5 NZ
boeo|B W E0 UZ
boèo|B W E1 UZ
boẻo|B W E3 UZ
